Connecting to host 10.0.0.1, port 5302
[  5] local 10.0.0.4 port 47412 connected to 10.0.0.1 port 5302
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.38 MBytes  53.4 Mbits/sec    0   1.44 MBytes       
[  5]   1.00-2.00   sec  9.50 MBytes  79.7 Mbits/sec    0    908 KBytes       
[  5]   2.00-3.00   sec  9.50 MBytes  79.7 Mbits/sec    0    960 KBytes       
[  5]   3.00-4.00   sec  8.12 MBytes  68.2 Mbits/sec    0    996 KBytes       
[  5]   4.00-5.00   sec  9.50 MBytes  79.7 Mbits/sec    0   1017 KBytes       
[  5]   5.00-6.00   sec  10.9 MBytes  91.2 Mbits/sec    0   1.00 MBytes       
[  5]   6.00-7.00   sec  9.50 MBytes  79.7 Mbits/sec    0   1.01 MBytes       
[  5]   7.00-8.00   sec  9.50 MBytes  79.7 Mbits/sec    0   1.01 MBytes       
[  5]   8.00-9.00   sec  9.38 MBytes  78.6 Mbits/sec    0   1.01 MBytes       
[  5]   9.00-10.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.01 MBytes       
[  5]  10.00-11.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.02 MBytes       
[  5]  11.00-12.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.04 MBytes       
[  5]  12.00-13.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.08 MBytes       
[  5]  13.00-14.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.12 MBytes       
[  5]  14.00-15.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.19 MBytes       
[  5]  15.00-16.00  sec  12.1 MBytes   102 Mbits/sec    0   1.29 MBytes       
[  5]  16.00-17.00  sec  13.6 MBytes   114 Mbits/sec    0   1.41 MBytes       
[  5]  17.00-18.00  sec  13.5 MBytes   113 Mbits/sec    0   1.56 MBytes       
[  5]  18.00-19.00  sec  16.2 MBytes   136 Mbits/sec    0   1.74 MBytes       
[  5]  19.00-20.00  sec  17.6 MBytes   148 Mbits/sec    0   1.96 MBytes       
[  5]  20.00-21.00  sec  19.0 MBytes   159 Mbits/sec    0   2.22 MBytes       
[  5]  21.00-22.00  sec  20.4 MBytes   171 Mbits/sec    0   2.51 MBytes       
[  5]  22.00-23.00  sec  9.50 MBytes  79.7 Mbits/sec    0    650 KBytes       
[  5]  23.00-24.00  sec  6.75 MBytes  56.6 Mbits/sec    0    699 KBytes       
[  5]  24.00-25.00  sec  6.75 MBytes  56.6 Mbits/sec    0    730 KBytes       
[  5]  25.00-26.00  sec  6.75 MBytes  56.6 Mbits/sec    0    748 KBytes       
[  5]  26.00-27.00  sec  6.88 MBytes  57.7 Mbits/sec    0    758 KBytes       
[  5]  27.00-28.00  sec  8.12 MBytes  68.2 Mbits/sec    0    759 KBytes       
[  5]  28.00-29.00  sec  6.75 MBytes  56.6 Mbits/sec    0    759 KBytes       
[  5]  29.00-30.00  sec  6.75 MBytes  56.6 Mbits/sec    0    759 KBytes       
[  5]  30.00-31.00  sec  6.75 MBytes  56.6 Mbits/sec    0    766 KBytes       
[  5]  31.00-32.00  sec  8.12 MBytes  68.2 Mbits/sec    0    778 KBytes       
[  5]  32.00-33.00  sec  6.88 MBytes  57.7 Mbits/sec    0    802 KBytes       
[  5]  33.00-34.00  sec  8.12 MBytes  68.2 Mbits/sec    0    840 KBytes       
[  5]  34.00-35.00  sec  8.12 MBytes  68.1 Mbits/sec    0    895 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   352 MBytes  84.4 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   350 MBytes  83.6 Mbits/sec                  receiver

iperf Done.
