Connecting to host 10.0.0.1, port 5309
[  5] local 10.0.0.4 port 57308 connected to 10.0.0.1 port 5309
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.00 MBytes  58.7 Mbits/sec    0    850 KBytes       
[  5]   1.00-2.00   sec  2.62 MBytes  22.0 Mbits/sec    0   48.1 KBytes       
[  5]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   60.8 KBytes       
[  5]   3.00-4.00   sec  1.38 MBytes  11.5 Mbits/sec    0   74.9 KBytes       
[  5]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   87.7 KBytes       
[  5]   5.00-6.00   sec  1.38 MBytes  11.5 Mbits/sec    0    102 KBytes       
[  5]   6.00-7.00   sec  1.38 MBytes  11.5 Mbits/sec    0    116 KBytes       
[  5]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  5]   8.00-9.00   sec  1.38 MBytes  11.5 Mbits/sec    0    143 KBytes       
[  5]   9.00-10.00  sec  1.38 MBytes  11.5 Mbits/sec    0    157 KBytes       
[  5]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    170 KBytes       
[  5]  11.00-12.00  sec  2.75 MBytes  23.1 Mbits/sec    0    184 KBytes       
[  5]  12.00-13.00  sec  1.38 MBytes  11.5 Mbits/sec    0    198 KBytes       
[  5]  13.00-14.00  sec  1.38 MBytes  11.5 Mbits/sec    0    211 KBytes       
[  5]  14.00-15.00  sec  2.62 MBytes  22.0 Mbits/sec    0    225 KBytes       
[  5]  15.00-16.00  sec  2.75 MBytes  23.1 Mbits/sec    0    239 KBytes       
[  5]  16.00-17.00  sec  1.38 MBytes  11.5 Mbits/sec    0    253 KBytes       
[  5]  17.00-18.00  sec  2.75 MBytes  23.1 Mbits/sec    0    266 KBytes       
[  5]  18.00-19.00  sec  2.62 MBytes  22.0 Mbits/sec    0    280 KBytes       
[  5]  19.00-20.00  sec  2.75 MBytes  23.1 Mbits/sec    0    294 KBytes       
[  5]  20.00-21.00  sec  2.75 MBytes  23.1 Mbits/sec    0    307 KBytes       
[  5]  21.00-22.00  sec  2.62 MBytes  22.0 Mbits/sec    0    321 KBytes       
[  5]  22.00-23.00  sec  2.75 MBytes  23.1 Mbits/sec    0    329 KBytes       
[  5]  23.00-24.00  sec  4.12 MBytes  34.6 Mbits/sec    0    344 KBytes       
[  5]  24.00-25.00  sec  2.62 MBytes  22.0 Mbits/sec    0    356 KBytes       
[  5]  25.00-26.00  sec  4.12 MBytes  34.6 Mbits/sec    0    370 KBytes       
[  5]  26.00-27.00  sec  2.75 MBytes  23.1 Mbits/sec    0    385 KBytes       
[  5]  27.00-28.00  sec  4.00 MBytes  33.6 Mbits/sec    0    399 KBytes       
[  5]  28.00-29.00  sec  4.12 MBytes  34.6 Mbits/sec    0    411 KBytes       
[  5]  29.00-30.00  sec  4.00 MBytes  33.6 Mbits/sec    0    426 KBytes       
[  5]  30.00-31.00  sec  4.12 MBytes  34.6 Mbits/sec    0    440 KBytes       
[  5]  31.00-32.00  sec  4.00 MBytes  33.6 Mbits/sec    0    452 KBytes       
[  5]  32.00-33.00  sec  4.12 MBytes  34.6 Mbits/sec    0    467 KBytes       
[  5]  33.00-34.00  sec  4.00 MBytes  33.6 Mbits/sec    0    481 KBytes       
[  5]  34.00-35.00  sec  5.50 MBytes  46.1 Mbits/sec    0    495 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec  93.8 MBytes  22.5 Mbits/sec    0             sender
[  5]   0.00-35.10  sec  90.8 MBytes  21.7 Mbits/sec                  receiver

iperf Done.
