Connecting to host 10.0.0.1, port 5309
[  5] local 10.0.0.4 port 58692 connected to 10.0.0.1 port 5309
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.38 MBytes  70.2 Mbits/sec    0   2.73 MBytes       
[  5]   1.00-2.00   sec  8.12 MBytes  68.2 Mbits/sec    0    414 KBytes       
[  5]   2.00-3.00   sec  4.00 MBytes  33.6 Mbits/sec    0    428 KBytes       
[  5]   3.00-4.00   sec  4.12 MBytes  34.6 Mbits/sec    0    443 KBytes       
[  5]   4.00-5.00   sec  5.38 MBytes  45.1 Mbits/sec    0    457 KBytes       
[  5]   5.00-6.00   sec  4.12 MBytes  34.6 Mbits/sec    0    469 KBytes       
[  5]   6.00-7.00   sec  4.00 MBytes  33.6 Mbits/sec    0    484 KBytes       
[  5]   7.00-8.00   sec  4.12 MBytes  34.6 Mbits/sec    0    498 KBytes       
[  5]   8.00-9.00   sec  5.38 MBytes  45.1 Mbits/sec    0    512 KBytes       
[  5]   9.00-10.00  sec  5.50 MBytes  46.1 Mbits/sec    0    525 KBytes       
[  5]  10.00-11.00  sec  4.00 MBytes  33.5 Mbits/sec    0    539 KBytes       
[  5]  11.00-12.00  sec  5.50 MBytes  46.1 Mbits/sec    0    553 KBytes       
[  5]  12.00-13.00  sec  5.38 MBytes  45.1 Mbits/sec    0    567 KBytes       
[  5]  13.00-14.00  sec  5.38 MBytes  45.1 Mbits/sec    0    580 KBytes       
[  5]  14.00-15.00  sec  5.50 MBytes  46.1 Mbits/sec    0    594 KBytes       
[  5]  15.00-16.00  sec  5.38 MBytes  45.1 Mbits/sec    0    608 KBytes       
[  5]  16.00-17.00  sec  5.50 MBytes  46.1 Mbits/sec    0    621 KBytes       
[  5]  17.00-18.00  sec  6.75 MBytes  56.6 Mbits/sec    0    635 KBytes       
[  5]  18.00-19.00  sec  5.38 MBytes  45.1 Mbits/sec    0    649 KBytes       
[  5]  19.00-20.00  sec  6.75 MBytes  56.6 Mbits/sec    0    663 KBytes       
[  5]  20.00-21.00  sec  5.50 MBytes  46.1 Mbits/sec    0    676 KBytes       
[  5]  21.00-22.00  sec  6.75 MBytes  56.6 Mbits/sec    0    690 KBytes       
[  5]  22.00-23.00  sec  6.75 MBytes  56.6 Mbits/sec    0    704 KBytes       
[  5]  23.00-24.00  sec  6.88 MBytes  57.7 Mbits/sec    0    717 KBytes       
[  5]  24.00-25.00  sec  6.75 MBytes  56.6 Mbits/sec    0    731 KBytes       
[  5]  25.00-26.00  sec  6.75 MBytes  56.6 Mbits/sec    0    745 KBytes       
[  5]  26.00-27.00  sec  6.75 MBytes  56.6 Mbits/sec    0    759 KBytes       
[  5]  27.00-28.00  sec  6.75 MBytes  56.6 Mbits/sec    0    772 KBytes       
[  5]  28.00-29.00  sec  8.25 MBytes  69.2 Mbits/sec    0    786 KBytes       
[  5]  29.00-30.00  sec  6.75 MBytes  56.6 Mbits/sec    0    800 KBytes       
[  5]  30.00-31.00  sec  8.12 MBytes  68.2 Mbits/sec    0    814 KBytes       
[  5]  31.00-32.00  sec  8.12 MBytes  68.2 Mbits/sec    0    827 KBytes       
[  5]  32.00-33.00  sec  6.75 MBytes  56.6 Mbits/sec    0    841 KBytes       
[  5]  33.00-34.00  sec  8.12 MBytes  68.2 Mbits/sec    0    856 KBytes       
[  5]  34.00-35.00  sec  8.12 MBytes  68.1 Mbits/sec    0    868 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   216 MBytes  51.7 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   214 MBytes  51.3 Mbits/sec                  receiver

iperf Done.
